ID,Tipo_Senha,Numeracao,Codigo_Senha,Data_Emissao,Guiche,Data_Atendimento
1,SP,1,SP001,2022-09-03 21:59:08.066693,1.0,2022-09-03 22:10:23.128442
2,SP,2,SP002,2022-09-03 21:59:11.122359,1.0,2022-09-03 22:10:33.998144
3,SE,1,SE001,2022-09-03 21:59:14.183902,2.0,2022-09-03 22:10:30.177229
4,SP,3,SP003,2022-09-03 21:59:18.257014,4.0,2022-09-03 22:10:43.407901
5,SP,4,SP004,2022-09-03 21:59:21.318013,3.0,2022-09-03 22:11:02.347897
6,SG,1,SG001,2022-09-03 21:59:24.376220,3.0,2022-09-03 22:10:36.465818
7,SG,2,SG002,2022-09-03 21:59:26.436546,1.0,2022-09-03 22:10:51.522244
8,SG,3,SG003,2022-09-03 21:59:28.484014,,
9,SG,4,SG004,2022-09-03 21:59:30.534508,,
10,SG,5,SG005,2022-09-03 21:59:32.586410,,
11,SP,5,SP005,2022-09-03 22:17:13.101494,,
12,SP,6,SP006,2022-09-03 22:17:30.430700,,
13,SP,7,SP007,2022-09-03 22:17:31.527001,,
14,SP,8,SP008,2022-09-03 22:18:51.252426,,
15,SP,9,SP009,2022-09-03 22:18:59.169251,,
